ID	NPS	Energy1	Energy2
1	8	0.081	0.051631
2	25	0.081	0.065714
3	42	0.081	0.21431
4	63	0.081	0.02462
5	72	0.081	0.095286
6	96	0.081	0.044151
7	103	0.081	0.11546
8	105	0.081	0.18813
9	123	0.081	0.074554
10	129	0.081	0.044277
11	168	0.081	0.16861
12	171	0.081	0.14916
13	204	0.081	0.12285
14	263	0.081	0.069136
15	323	0.081	0.057927
16	326	0.081	0.17516
17	399	0.081	0.092631
18	402	0.081	0.052854
19	421	0.081	0.12781
20	484	0.081	0.061179
21	499	0.081	0.13163
22	519	0.081	0.10127
23	531	0.081	0.17044
24	566	0.081	0.081684
25	583	0.081	0.21859
26	602	0.081	0.18838
27	625	0.081	0.072014
28	640	0.081	0.17635
29	718	0.081	0.12401
30	724	0.081	0.027054
31	755	0.081	0.073994
32	775	0.081	0.091253
33	794	0.081	0.065738
34	803	0.064388	0.19818
35	822	0.081	0.24309
36	844	0.081	0.10679
37	847	0.081	0.18387
38	863	0.081	0.026334
39	884	0.081	0.020227
40	887	0.081	0.12146
41	888	0.081	0.053967
42	893	0.081	0.071284
43	900	0.076683	0.1383
44	933	0.081	0.12742
45	957	0.081	0.13105
46	961	0.081	0.10798
47	978	0.081	0.063007
48	992	0.081	0.048433
49	1033	0.081	0.12361
50	1042	0.081	0.10579
51	1061	0.081	0.11315
52	1075	0.081	0.12096
53	1127	0.081	0.13388
54	1151	0.081	0.091751
55	1157	0.081	0.086384
56	1188	0.081	0.079977
57	1217	0.081	0.096863
58	1236	0.081	0.13753
59	1238	0.081	0.18721
60	1260	0.069209	0.15481
61	1271	0.081	0.070015
62	1274	0.081	0.14489
63	1325	0.081	0.19904
64	1333	0.081	0.10129
65	1339	0.081	0.10173
66	1346	0.081	0.12036
67	1372	0.081	0.063967
68	1376	0.081	0.074053
69	1389	0.081	0.21361
70	1392	0.081	0.14127
71	1445	0.081	0.19418
72	1468	0.081	0.24734
73	1482	0.081	0.057873
74	1484	0.081	0.057015
75	1496	0.081	0.19465
76	1534	0.064232	0.07549
77	1537	0.06929	0.09029
78	1557	0.081	0.044857
79	1570	0.081	0.061006
80	1572	0.081	0.01865
81	1600	0.081	0.13892
82	1602	0.081	0.045752
83	1626	0.081	0.11328
84	1633	0.081	0.16318
85	1656	0.081	0.13263
86	1658	0.081	0.15202
87	1673	0.081	0.079823
88	1699	0.081	0.056299
89	1705	0.081	0.03745
90	1737	0.081	0.16343
91	1749	0.063002	0.04203
92	1750	0.081	0.096107
93	1774	0.081	0.14481
94	1789	0.081	0.092975
95	1792	0.081	0.097459
96	1804	0.081	0.15808
97	1806	0.081	0.28211
98	1820	0.081	0.18965
99	1842	0.081	0.054457
100	1843	0.081	0.043643
101	1854	0.081	0.026394
102	1938	0.081	0.050419
103	1953	0.081	0.25932
104	1978	0.081	0.19947
105	1991	0.081	0.037199
106	2010	0.081	0.064476
107	2033	0.081	0.077264
108	2037	0.081	0.13252
109	2045	0.081	0.074233
110	2052	0.081	0.023451
111	2056	0.081	0.091251
112	2073	0.081	0.12069
113	2093	0.081	0.090782
114	2100	0.081	0.088987
115	2117	0.081	0.033808
116	2140	0.067557	0.0976
117	2144	0.081	0.037383
118	2151	0.081	0.10716
119	2177	0.081	0.13181
120	2230	0.068827	0.21884
121	2248	0.081	0.21582
122	2260	0.081	0.22698
123	2273	0.081	0.045443
124	2279	0.081	0.026211
125	2280	0.081	0.11665
126	2282	0.081	0.068474
127	2288	0.06673	0.10623
128	2299	0.081	0.17482
129	2319	0.081	0.1139
130	2329	0.081	0.061832
131	2337	0.081	0.25919
132	2411	0.081	0.031991
133	2427	0.081	0.23803
134	2435	0.081	0.11628
135	2457	0.081	0.11382
136	2485	0.081	0.20243
137	2527	0.081	0.058222
138	2553	0.081	0.051156
139	2559	0.081	0.094278
140	2566	0.081	0.044402
141	2574	0.081	0.090049
142	2582	0.081	0.045177
143	2615	0.081	0.10762
144	2618	0.081	0.23958
145	2643	0.081	0.038541
146	2679	0.081	0.09343
147	2701	0.081	0.21803
148	2715	0.081	0.073181
149	2811	0.081	0.055957
150	2827	0.081	0.13657
151	2862	0.081	0.16497
152	2882	0.081	0.15792
153	2920	0.081	0.066587
154	2924	0.081	0.10512
155	2940	0.081	0.040128
156	2986	0.081	0.18882
