ID	NPS	Energy1	Energy2
1	8	0.031	0.19795
2	11	0.031	0.19612
3	25	0.031	0.19734
4	35	0.031	0.19535
5	42	0.031	0.19808
6	63	0.031	0.19032
7	72	0.031	0.19156
8	88	0.031	0.19884
9	96	0.031	0.19186
10	103	0.031	0.18208
11	105	0.031	0.19348
12	117	0.031	0.19883
13	123	0.031	0.19134
14	129	0.031	0.19693
15	168	0.031	0.19243
16	171	0.031	0.19732
17	204	0.031	0.19036
18	207	0.031	0.19032
19	263	0.031	0.19503
20	289	0.030771	0.19011
21	297	0.031	0.19555
22	299	0.031	0.19204
23	307	0.031	0.19791
24	321	0.031	0.19752
25	323	0.031	0.19397
26	326	0.031	0.16599
27	359	0.031	0.19741
28	378	0.029015	0.19619
29	399	0.031	0.19106
30	402	0.031	0.19737
31	408	0.028827	0.18771
32	421	0.031	0.19687
33	481	0.029512	0.19081
34	484	0.031	0.19698
35	499	0.031	0.19762
36	506	0.031	0.19769
37	519	0.031	0.1899
38	566	0.031	0.19618
39	583	0.031	0.1971
40	602	0.031	0.18688
41	616	0.031	0.1922
42	625	0.031	0.17463
43	644	0.031	0.19369
44	683	0.031	0.19378
45	686	0.031	0.18963
46	718	0.031	0.19656
47	724	0.031	0.19394
48	775	0.031	0.19492
49	794	0.031	0.19359
50	803	0.028075	0.18655
51	839	0.031	0.19673
52	847	0.031	0.19878
53	888	0.031	0.1988
54	893	0.031	0.19692
55	929	0.031	0.1966
56	957	0.031	0.19405
57	961	0.031	0.19747
58	978	0.031	0.1918
59	999	0.031	0.19554
60	1033	0.031	0.19831
61	1067	0.030775	0.19282
62	1075	0.031	0.19825
63	1127	0.031	0.19832
64	1145	0.031	0.18979
65	1151	0.031	0.19547
66	1156	0.031	0.19705
67	1157	0.031	0.1988
68	1188	0.031	0.19509
69	1217	0.031	0.17801
70	1228	0.031	0.19437
71	1236	0.031	0.19872
72	1238	0.031	0.18457
73	1260	0.02822	0.1969
74	1271	0.031	0.19315
75	1274	0.031	0.19846
76	1300	0.031	0.19797
77	1314	0.031	0.19355
78	1320	0.031	0.19758
79	1325	0.031	0.1946
80	1339	0.031	0.19617
81	1346	0.031	0.19778
82	1350	0.031	0.19634
83	1372	0.031	0.19743
84	1373	0.031	0.19899
85	1376	0.031	0.19379
86	1389	0.031	0.1977
87	1392	0.031	0.19889
88	1393	0.031	0.19501
89	1426	0.031	0.19521
90	1445	0.031	0.19436
91	1453	0.031	0.19238
92	1454	0.031	0.18414
93	1468	0.031	0.19528
94	1482	0.031	0.19896
95	1484	0.031	0.19245
96	1496	0.031	0.19482
97	1497	0.031	0.1971
98	1537	0.031	0.19317
99	1557	0.031	0.19214
100	1570	0.031	0.19391
101	1572	0.031	0.18545
102	1586	0.031	0.19841
103	1596	0.031	0.19703
104	1600	0.031	0.19896
