ID	NPS	Energy1	Energy2
1	8	0.031	0.051631
2	25	0.031	0.065714
3	42	0.031	0.21431
4	63	0.031	0.02462
5	72	0.031	0.095286
6	96	0.031	0.044151
7	103	0.031	0.11546
8	105	0.031	0.18813
9	123	0.031	0.074554
10	129	0.031	0.044277
11	168	0.031	0.16861
12	171	0.031	0.14916
13	204	0.031	0.12285
14	263	0.031	0.069136
15	323	0.031	0.057927
16	326	0.031	0.17516
17	378	0.029015	0.131
18	399	0.031	0.092631
19	402	0.031	0.052854
20	408	0.028827	0.066952
21	421	0.031	0.12781
22	481	0.029512	0.15659
23	484	0.031	0.061179
24	499	0.031	0.13163
25	519	0.031	0.10127
26	566	0.031	0.081684
27	583	0.031	0.21859
28	602	0.031	0.18838
29	625	0.031	0.072014
30	644	0.031	0.091394
31	718	0.031	0.12401
32	724	0.031	0.027054
33	775	0.031	0.091253
34	794	0.031	0.065738
35	803	0.028075	0.19818
36	847	0.031	0.18387
37	888	0.031	0.053967
38	893	0.031	0.071284
39	957	0.031	0.13105
40	961	0.031	0.10798
41	978	0.031	0.063007
42	1033	0.031	0.12361
43	1075	0.031	0.12096
44	1127	0.031	0.13388
45	1151	0.031	0.091751
46	1157	0.031	0.086384
47	1188	0.031	0.079977
48	1217	0.031	0.096863
49	1236	0.031	0.13753
50	1238	0.031	0.18721
51	1260	0.02822	0.15481
52	1271	0.031	0.070015
53	1274	0.031	0.14489
54	1325	0.031	0.19904
55	1339	0.031	0.10173
56	1346	0.031	0.12036
57	1372	0.031	0.063967
58	1376	0.031	0.074053
59	1389	0.031	0.21361
60	1392	0.031	0.14127
61	1445	0.031	0.19418
62	1468	0.031	0.24734
63	1482	0.031	0.057873
64	1484	0.031	0.057015
65	1496	0.031	0.19465
66	1537	0.031	0.09029
67	1557	0.031	0.044857
68	1570	0.031	0.061006
69	1572	0.031	0.01865
70	1600	0.031	0.13892
71	1602	0.031	0.045752
72	1626	0.031	0.11328
73	1633	0.031	0.16318
74	1656	0.031	0.13263
75	1658	0.031	0.15202
76	1673	0.031	0.079823
77	1699	0.031	0.056299
78	1737	0.031	0.16343
79	1750	0.031	0.096107
80	1774	0.031	0.14481
81	1806	0.031	0.28211
82	1820	0.031	0.18965
83	1843	0.031	0.043643
84	1938	0.031	0.050419
85	1953	0.031	0.25932
86	1978	0.031	0.19947
87	2010	0.031	0.064476
88	2033	0.031	0.077264
89	2037	0.031	0.13252
90	2052	0.031	0.023451
91	2056	0.031	0.091251
92	2073	0.031	0.12069
93	2093	0.031	0.090782
94	2100	0.031	0.088987
95	2117	0.031	0.033808
96	2144	0.031	0.037383
97	2151	0.031	0.10716
98	2166	0.028984	0.1833
99	2177	0.031	0.13181
100	2248	0.031	0.21582
101	2260	0.031	0.22698
102	2273	0.031	0.045443
103	2279	0.031	0.026211
104	2282	0.031	0.068474
105	2319	0.031	0.1139
106	2329	0.031	0.061832
107	2411	0.031	0.031991
108	2422	0.028752	0.054987
109	2427	0.031	0.23803
110	2435	0.031	0.11628
111	2457	0.031	0.11382
112	2485	0.031	0.20243
113	2527	0.031	0.058222
114	2553	0.031	0.051156
115	2559	0.031	0.094278
116	2566	0.031	0.044402
117	2574	0.031	0.090049
118	2582	0.031	0.045177
119	2615	0.031	0.10762
120	2618	0.031	0.23958
121	2643	0.031	0.038541
122	2701	0.031	0.21803
123	2811	0.031	0.055957
124	2827	0.031	0.13657
125	2862	0.031	0.16497
126	2882	0.031	0.15792
127	2920	0.031	0.066587
128	2924	0.031	0.10512
129	2986	0.031	0.18882
130	2991	0.031	0.071323
131	3041	0.031	0.071561
132	3056	0.031	0.01525
133	3073	0.031	0.073491
134	3090	0.027834	0.12073
135	3092	0.028364	0.13909
136	3127	0.031	0.20539
137	3130	0.031	0.056968
138	3235	0.031	0.23681
139	3309	0.031	0.10794
140	3327	0.031	0.15627
141	3355	0.031	0.038744
142	3409	0.031	0.20791
143	3417	0.031	0.1101
144	3421	0.031	0.11614
145	3427	0.031	0.092915
146	3430	0.031	0.021954
147	3473	0.031	0.057473
148	3519	0.031	0.19298
149	3542	0.031	0.12417
150	3558	0.031	0.029078
151	3597	0.031	0.14627
152	3600	0.031	0.17854
153	3604	0.031	0.10954
154	3643	0.031	0.07929
155	3665	0.031	0.089036
