ID	NPS	Energy1	Energy2
1	11	0.031	0.01858
2	35	0.031	0.018428
3	42	0.031	0.040915
4	63	0.031	0.032498
5	96	0.031	0.03056
6	117	0.031	0.044696
7	129	0.031	0.042516
8	263	0.031	0.026036
9	297	0.031	0.020492
10	299	0.031	0.028264
11	307	0.031	0.043698
12	321	0.031	0.042769
13	326	0.031	0.034458
14	359	0.031	0.041798
15	378	0.029015	0.039575
16	402	0.031	0.031996
17	421	0.031	0.042828
18	499	0.031	0.036766
19	506	0.031	0.033293
20	566	0.031	0.04022
21	583	0.031	0.040395
22	602	0.031	0.02611
23	616	0.031	0.022369
24	625	0.031	0.036561
25	644	0.031	0.039715
26	683	0.031	0.03794
27	803	0.028075	0.033758
28	847	0.031	0.044478
29	888	0.031	0.044508
30	893	0.031	0.034356
31	929	0.031	0.042218
32	957	0.031	0.028977
33	1033	0.031	0.030632
34	1067	0.030775	0.037647
35	1075	0.031	0.041446
36	1127	0.031	0.043473
37	1145	0.031	0.027018
38	1157	0.031	0.044617
39	1188	0.031	0.023302
40	1217	0.031	0.022604
41	1236	0.031	0.044227
42	1260	0.02822	0.043947
43	1271	0.031	0.033342
44	1274	0.031	0.038551
45	1300	0.031	0.040659
46	1320	0.031	0.033662
47	1346	0.031	0.037909
48	1350	0.031	0.041369
49	1372	0.031	0.034289
50	1373	0.031	0.045
51	1376	0.031	0.037753
52	1392	0.031	0.044762
53	1393	0.031	0.030743
54	1426	0.031	0.015165
55	1482	0.031	0.044932
56	1497	0.031	0.029075
57	1596	0.031	0.042363
58	1600	0.031	0.044907
59	1626	0.031	0.044167
60	1633	0.031	0.044144
61	1656	0.031	0.042748
62	1686	0.029958	0.02658
63	1690	0.031	0.020278
64	1699	0.031	0.040707
65	1735	0.031	0.042856
66	1737	0.031	0.042138
67	1774	0.031	0.040483
68	1806	0.031	0.034803
69	1843	0.031	0.044747
70	1927	0.031	0.016177
71	1928	0.031	0.043375
72	1938	0.031	0.016945
73	1953	0.031	0.037326
74	1983	0.031	0.034421
75	2010	0.031	0.03058
76	2037	0.031	0.044662
77	2052	0.031	0.042967
78	2056	0.031	0.042408
79	2073	0.031	0.045
80	2093	0.031	0.04453
81	2100	0.031	0.039914
82	2117	0.031	0.032811
83	2144	0.031	0.042824
84	2159	0.031	0.043647
85	2199	0.031	0.03656
86	2257	0.031	0.040722
87	2282	0.031	0.033253
88	2329	0.031	0.0424
89	2411	0.031	0.038961
90	2422	0.028752	0.040113
91	2435	0.031	0.033766
92	2443	0.031	0.041634
93	2457	0.031	0.027979
94	2485	0.031	0.043806
95	2553	0.031	0.032841
96	2559	0.031	0.041332
97	2564	0.031	0.040367
98	2574	0.031	0.040445
99	2579	0.031	0.040095
100	2582	0.031	0.040797
101	2615	0.031	0.033247
102	2643	0.031	0.033137
103	2762	0.031	0.031273
104	2827	0.031	0.040331
105	2862	0.031	0.040532
106	2882	0.031	0.033729
107	2902	0.031	0.04408
108	2903	0.031	0.034097
109	2986	0.031	0.042424
110	3041	0.031	0.044736
111	3056	0.031	0.044608
112	3090	0.027834	0.037181
113	3092	0.028364	0.04379
114	3266	0.031	0.03897
115	3309	0.031	0.040413
116	3323	0.031	0.038386
117	3367	0.031	0.036975
118	3383	0.031	0.03343
119	3417	0.031	0.031135
120	3421	0.031	0.044161
121	3430	0.031	0.032102
122	3519	0.031	0.043042
123	3558	0.031	0.031002
124	3584	0.031	0.041207
125	3596	0.031	0.043363
126	3598	0.031	0.032237
127	3600	0.031	0.041951
128	3607	0.031	0.044362
129	3665	0.031	0.039905
130	3689	0.031	0.043166
131	3708	0.031	0.044278
132	3723	0.031	0.032793
133	3724	0.031	0.036821
134	3787	0.031	0.044727
135	3791	0.031	0.034172
136	3799	0.031	0.035463
137	3811	0.031	0.04494
138	3818	0.031	0.041804
139	3827	0.031	0.043611
140	3875	0.031	0.032431
141	3877	0.031	0.012677
142	3888	0.031	0.043914
143	3892	0.031	0.037887
144	3915	0.031	0.043295
145	3947	0.031	0.044778
146	3978	0.031	0.044737
147	4013	0.031	0.036514
148	4051	0.031	0.03934
149	4079	0.031	0.032515
150	4103	0.031	0.03935
151	4127	0.031	0.027958
152	4130	0.031	0.037359
153	4151	0.031	0.025009
154	4155	0.031	0.043737
155	4195	0.031	0.014198
156	4200	0.031	0.036096
157	4230	0.031	0.041252
158	4254	0.031	0.038491
159	4258	0.031	0.023767
160	4261	0.031	0.042296
161	4307	0.031	0.041537
162	4314	0.031	0.038691
163	4331	0.031	0.032794
164	4340	0.031	0.038365
165	4373	0.031	0.020205
166	4386	0.031	0.041815
167	4408	0.031	0.040008
168	4467	0.031	0.044422
169	4536	0.031	0.023841
170	4558	0.031	0.042341
171	4559	0.031	0.044451
172	4585	0.031	0.035784
173	4655	0.031	0.01842
174	4656	0.031	0.032341
175	4689	0.031	0.037821
176	4724	0.031	0.044888
177	4755	0.031	0.03657
178	4800	0.031	0.030848
179	4899	0.031	0.042601
180	4911	0.031	0.038159
181	4927	0.031	0.036777
182	4931	0.031	0.044604
183	4933	0.031	0.040101
184	4934	0.031	0.03107
185	4936	0.030286	0.024817
186	4957	0.029	0.036378
187	4963	0.031	0.022332
188	5012	0.028599	0.034117
189	5013	0.031	0.040795
190	5058	0.031	0.044758
191	5095	0.031	0.034222
192	5192	0.031	0.044954
193	5228	0.031	0.019611
194	5253	0.031	0.032011
195	5288	0.031	0.035356
196	5292	0.031	0.021371
197	5312	0.031	0.03909
198	5340	0.031	0.017473
199	5351	0.031	0.02848
200	5422	0.031	0.04322
201	5444	0.031	0.044625
202	5450	0.031	0.040712
203	5467	0.031	0.043801
204	5489	0.031	0.042319
205	5492	0.031	0.034519
206	5535	0.0297	0.041506
207	5569	0.031	0.044311
208	5570	0.031	0.026855
209	5716	0.031	0.018047
210	5733	0.031	0.039926
211	5748	0.031	0.044716
212	5797	0.031	0.040276
213	5803	0.031	0.038827
214	5815	0.031	0.040746
215	5836	0.031	0.026011
216	5841	0.031	0.040438
217	5847	0.031	0.04145
218	5855	0.031	0.030691
219	5899	0.031	0.026485
220	5907	0.031	0.037783
221	5966	0.030796	0.037171
222	6023	0.031	0.044111
223	6033	0.031	0.04248
224	6055	0.031	0.044206
225	6150	0.031	0.03818
226	6168	0.031	0.028482
227	6169	0.031	0.036233
228	6170	0.031	0.044714
229	6192	0.031	0.040447
230	6198	0.031	0.042637
231	6219	0.031	0.042334
232	6243	0.031	0.029016
233	6268	0.031	0.02771
234	6281	0.031	0.03771
235	6283	0.031	0.037105
236	6297	0.031	0.025912
237	6298	0.031	0.040347
238	6315	0.031	0.043173
239	6328	0.031	0.018104
240	6354	0.031	0.043281
241	6363	0.031	0.034211
242	6368	0.031	0.042221
243	6388	0.031	0.037005
244	6417	0.031	0.041291
245	6419	0.031	0.043965
246	6422	0.031	0.037481
247	6475	0.031	0.0339
248	6480	0.031	0.044343
249	6570	0.028581	0.033882
250	6622	0.031	0.015506
251	6679	0.031	0.026177
252	6703	0.031	0.032912
253	6744	0.031	0.029979
254	6821	0.031	0.043266
255	6830	0.031	0.041512
256	6877	0.031	0.033865
257	6882	0.031	0.034355
258	6961	0.027729	0.036967
259	7008	0.031	0.044814
260	7024	0.031	0.04411
261	7031	0.031	0.044042
262	7053	0.031	0.029616
263	7111	0.031	0.016608
264	7129	0.031	0.026498
265	7210	0.031	0.043653
266	7239	0.031	0.043619
267	7259	0.031	0.032569
268	7284	0.031	0.040019
269	7300	0.031	0.03381
270	7327	0.031	0.04362
271	7386	0.031	0.044561
272	7398	0.031	0.017414
273	7405	0.031	0.043153
274	7430	0.031	0.038339
275	7445	0.031	0.036347
276	7453	0.031	0.035596
277	7460	0.031	0.025054
278	7529	0.031	0.033205
279	7603	0.031	0.040154
280	7671	0.031	0.037014
281	7710	0.031	0.035105
282	7735	0.031	0.035169
283	7737	0.031	0.031843
284	7753	0.031	0.044682
285	7759	0.031	0.024564
286	7797	0.031	0.035855
287	7825	0.031	0.031847
288	7884	0.031	0.035429
289	8015	0.031	0.043434
290	8030	0.031	0.044274
291	8031	0.031	0.037765
292	8044	0.031	0.026728
293	8061	0.031	0.036643
294	8138	0.031	0.040473
295	8162	0.031	0.043058
296	8206	0.031	0.024984
297	8249	0.031	0.034439
298	8256	0.031	0.037251
299	8260	0.031	0.042021
300	8270	0.031	0.019535
301	8305	0.031	0.034328
