ID	NPS	Energy1	Energy2
1	8	0.25	0.17212
2	25	0.25	0.21522
3	42	0.25	0.60923
4	63	0.25	0.10692
5	72	0.25	0.31573
6	96	0.25	0.19929
7	103	0.25	0.37243
8	105	0.25	0.54143
9	113	0.25	0.43029
10	117	0.25	0.2655
11	129	0.25	0.15551
12	168	0.25	0.53859
13	171	0.25	0.44799
14	186	0.25	0.20006
15	204	0.25	0.37594
16	234	0.20023	0.30076
17	263	0.25	0.27688
18	280	0.25	0.36275
19	289	0.14003	0.036958
20	297	0.25	0.13676
21	321	0.25	0.06048
22	323	0.25	0.2385
23	326	0.25	0.51162
24	359	0.25	0.07033
25	421	0.25	0.39352
26	484	0.25	0.22206
27	499	0.25	0.39306
28	519	0.25	0.30985
29	530	0.25	0.089434
30	531	0.25	0.50536
31	583	0.25	0.62587
32	602	0.25	0.54314
33	640	0.25	0.51508
34	668	0.25	0.10558
35	683	0.25	0.077647
36	718	0.25	0.37259
37	732	0.25	0.27799
38	755	0.25	0.24022
39	775	0.25	0.26871
40	822	0.25	0.67663
41	844	0.25	0.34062
42	847	0.25	0.53122
43	863	0.25	0.2847
44	884	0.25	0.1903
45	887	0.25	0.37041
46	888	0.25	0.17815
47	893	0.25	0.25
48	900	0.25	0.42572
49	929	0.25	0.1855
50	933	0.25	0.37689
51	957	0.25	0.39224
52	960	0.25	0.12927
53	978	0.25	0.23765
54	1033	0.25	0.37041
55	1042	0.25	0.32299
56	1061	0.25	0.3622
57	1067	0.25	0.10864
58	1075	0.25	0.41269
59	1127	0.25	0.41074
60	1132	0.25	0.46732
61	1151	0.25	0.29705
62	1157	0.25	0.27066
63	1188	0.25	0.2553
64	1217	0.25	0.30291
65	1228	0.25	0.043648
66	1236	0.25	0.41445
67	1238	0.25	0.55095
68	1271	0.25	0.24514
69	1274	0.25	0.43836
70	1304	0.25	0.092301
71	1320	0.25	0.11403
72	1325	0.25	0.57727
73	1333	0.25	0.31455
74	1339	0.25	0.31782
75	1346	0.25	0.389
76	1372	0.25	0.21027
77	1376	0.25	0.29571
78	1389	0.25	0.60706
79	1392	0.25	0.43131
80	1445	0.25	0.55625
81	1453	0.25	0.4979
82	1468	0.25	0.68484
83	1478	0.23288	0.40228
84	1481	0.25	0.018671
85	1482	0.25	0.19357
86	1496	0.25	0.57551
87	1497	0.25	0.069734
88	1499	0.14027	0.576
89	1534	0.25	0.24811
90	1557	0.25	0.33089
91	1570	0.25	0.21644
92	1572	0.25	0.068969
93	1598	0.25	0.029346
94	1600	0.25	0.41797
95	1602	0.25	0.22861
96	1626	0.25	0.34075
97	1633	0.25	0.50201
98	1646	0.25	0.12375
99	1656	0.25	0.40553
100	1673	0.25	0.25765
101	1699	0.25	0.24175
102	1737	0.25	0.48829
103	1740	0.093935	0.088359
104	1750	0.25	0.33391
105	1789	0.25	0.28869
106	1792	0.25	0.30269
107	1806	0.25	0.76526
108	1817	0.25	0.033063
109	1820	0.25	0.54749
110	1842	0.25	0.17173
111	1854	0.25	0.093268
112	1875	0.25	0.33936
113	1881	0.1839	0.48611
114	1927	0.25	0.39541
115	1928	0.25	0.053166
116	1938	0.25	0.17142
117	1945	0.25	0.070273
118	1953	0.25	0.49818
119	1978	0.25	0.57201
120	1983	0.25	0.16648
121	1991	0.25	0.14891
122	2010	0.25	0.27402
123	2033	0.25	0.26357
124	2037	0.25	0.40815
125	2045	0.25	0.28994
126	2056	0.25	0.2972
127	2073	0.25	0.35987
128	2093	0.25	0.31332
129	2100	0.25	0.28013
130	2110	0.25	0.049248
131	2115	0.25	0.017276
132	2117	0.25	0.21139
133	2142	0.15356	0.42907
134	2144	0.25	0.15823
135	2151	0.25	0.33639
136	2177	0.25	0.3968
137	2248	0.25	0.61402
138	2260	0.25	0.63952
139	2273	0.25	0.19016
140	2279	0.25	0.14149
141	2280	0.25	0.35727
142	2299	0.25	0.51519
143	2319	0.25	0.36429
144	2329	0.25	0.21547
145	2374	0.25	0.1421
146	2379	0.25	0.23762
147	2391	0.25	0.041661
148	2411	0.25	0.10873
149	2427	0.25	0.67349
150	2435	0.25	0.35383
151	2452	0.25	0.048184
152	2457	0.25	0.35143
153	2470	0.25	0.29389
154	2527	0.25	0.19444
155	2553	0.25	0.18242
156	2554	0.25	0.046912
157	2559	0.25	0.30574
158	2564	0.25	0.073464
159	2566	0.25	0.18312
160	2574	0.25	0.2896
161	2582	0.25	0.15059
162	2615	0.25	0.33689
163	2643	0.25	0.17051
164	2679	0.25	0.3413
165	2701	0.25	0.6205
166	2715	0.25	0.23694
167	2730	0.13231	0.50262
168	2735	0.25	0.16991
169	2763	0.25	0.052766
170	2773	0.25	0.65509
171	2827	0.25	0.41901
172	2862	0.25	0.5075
173	2882	0.25	0.47143
174	2902	0.25	0.2751
175	2913	0.25	0.46921
176	2920	0.25	0.22589
177	2924	0.25	0.34658
178	2940	0.25	0.17293
179	2974	0.25	0.1449
180	2986	0.25	0.54467
181	2991	0.25	0.21875
182	3041	0.25	0.22922
183	3047	0.25	0.27042
184	3056	0.25	0.053694
185	3073	0.25	0.32031
186	3111	0.25	0.36289
187	3123	0.25	0.037687
188	3127	0.25	0.58445
189	3130	0.25	0.22359
190	3200	0.25	0.084016
191	3234	0.25	0.08596
192	3255	0.25	0.56029
193	3271	0.25	0.64129
194	3302	0.13071	0.19159
195	3309	0.25	0.33593
